name,date,title,pre_email,company_url
ELEVIA SOFTWARE,"March 15, 2022",EleVia Software Announces New End-User Portal for ACH and Credit/Debit Card Payment Solution,Not Provided,https://www.constructiondive.com/press-release/20220314-elevia-software-announces-new-end-user-portal-for-ach-and-creditdebit-card/
GENDA,"March 15, 2022",Genda Closes Seed Round Co-Led by TenOneTen and S3 Ventures,Not Provided,https://www.constructiondive.com/press-release/20220309-genda-closes-seed-round-co-led-by-tenoneten-and-s3-ventures/
PACIFIC CONSTRUCTION,"March 10, 2022",Pacific Construction Completes More Than $40M in Medical Construction Projects in 2021-22,laura@mcgowansonline.com,https://www.constructiondive.com/press-release/20220310-pacific-construction-completes-more-than-40m-in-medical-construction-proje/
HAMMERTECH,"March 10, 2022",HammerTech's New Pre Task Planning Tool Empowers Mobile Construction Crews and Optimizes Tasks,georgia.bergers@hammertechglobal.com,https://www.constructiondive.com/press-release/20220309-loved-by-the-enr-top-20-new-daily-task-planning-tool-empowers-mobile-cons/
SONSRAY FLEET SERVICES,"March 09, 2022",Sonsray Fleet Services and Sonsray Machinery Become a Dual Store in San Diego,info@sonsray.com,https://www.constructiondive.com/press-release/20220308-sonsray-fleet-services-and-sonsray-machinery-become-a-dual-store-in-san-die/
ALICE TECHNOLOGIES,"March 08, 2022",Kajima Group Partners with ALICE Technologies to Reimagine Construction Scheduling,Not Provided,https://www.constructiondive.com/press-release/20220307-kajima-group-partners-with-alice-technologies-to-reimagine-construction-sch/
BRIDGIT,"March 01, 2022",Announcing Turn-Key Integration Between Bridgit Bench and Unanet CRM by Cosential,jesse@derringdo.com,https://www.constructiondive.com/press-release/20220228-announcing-turn-key-integration-between-bridgit-bench-and-unanet-crm-by-cos/
TOUCHPLAN,"March 01, 2022",Touchplan and Cianbro Extend Enterprise Relationship,dfinnegan@touchplan.io,https://www.constructiondive.com/press-release/20220301-touchplan-and-cianbro-extend-enterprise-relationship/
TSI CORPORATIONS,"February 28, 2022",TSI Corporations Appoints Three Executives to Senior Leadership Team,Not Provided,https://www.constructiondive.com/press-release/20220228-tsi-corporations-appoints-three-executives-to-senior-leadership-team/
INTELLIWAVE TECHNOLOGIES,"February 23, 2022","Intelliwave Technologies Releases Enhanced SiteSense® Integrations with Autodesk Construction Cloud for Document, Cost and Asset Management",socialmedia@intelliwavetechnologies.com,https://www.constructiondive.com/press-release/20220222-intelliwave-technologies-releases-enhanced-sitesense-integrations-with-aut/
BURNS & MCDONNELL,"February 21, 2022","Burns & McDonnell Promotes Five Senior Executives, Expands Officer Group After Best Year in Firm History Reaching $5.7 Billion in Sales",meyoung@burnsmcd.com,https://www.constructiondive.com/press-release/20220221-burns-mcdonnell-promotes-five-senior-executives-expands-officer-group-af/
Not Provided,"February 19, 2022",Zurn Launches New 500XL3 Pressure Reducing Valve,jamie.leroy@zurn.com,https://www.constructiondive.com/press-release/20220219-zurn-launches-new-500xl3-pressure-reducing-valve/
NORTHLAKE COMMONS,"February 17, 2022",Transformational Seattle mass timber commercial development heralds new era for sustainable design,josh@cypresspointstrategic.com,https://www.constructiondive.com/press-release/20220216-transformational-seattle-mass-timber-development-launches-new-era-for-neigh/
ADOLFSON & PETERSON CONSTRUCTION,"February 15, 2022",Adolfson & Peterson Construction Welcomes Molly Weiss  as Chief Human Resources Officer,bsaukko@a-p.com,https://www.constructiondive.com/press-release/20220215-adolfson-peterson-construction-welcomes-molly-weiss-as-chief-human-resou-1/
BRIDGIT,"February 15, 2022",Bridgit launches the Bench Cost module to help general contractors track financial workforce metrics,jesse@derringdo.com,https://www.constructiondive.com/press-release/20220214-bridgit-launches-the-bench-cost-module-to-help-general-contractors-track-fi/
SONSRAY RENTALS,"February 14, 2022","Sonsray Rentals Opening in Rohnert Park, CA",info@sonsray.com,https://www.constructiondive.com/press-release/20220214-new-sonsray-rentals-opening-in-rohnert-park/
ZURN WATER SOLUTIONS,"February 14, 2022",Zurn Water Solutions and Elkay Manufacturing to Combine; Creating a Leader in Sustainable Water Solutions,Not Provided,https://www.constructiondive.com/press-release/20220214-zurn-water-solutions-and-elkay-manufacturing-to-combine-creating-a-leader/
BURNS & MCDONNELL,"February 10, 2022","Burns & McDonnell Expands Philadelphia Area Operations, Strengthening Design-build Capabilities on the East Coast",etsimone@burnsmcd.com,https://www.constructiondive.com/press-release/20220210-burns-mcdonnell-expands-philadelphia-area-operations-strengthening-desig/
BURNS & MCDONNELL,"February 10, 2022",Burns & McDonnell Welcomes Cyrill Weems as Director of Infrastructure in Detroit,Not Provided,https://www.constructiondive.com/press-release/20220210-burns-mcdonnell-adds-infrastructure-experience-with-strategic-hire/
FLOWFORMA,"February 09, 2022",FlowForma Recognized as one of the ‘Top 10 Construction Tech Solution Providers 2021’ by Leading Technology and Digital Transformation Journal,Not Provided,https://www.constructiondive.com/press-release/20220209-flowforma-recognized-as-one-of-the-top-10-construction-tech-solution-provi/
INITIATIVE FOR A COMPETITIVE INNER CITY,"February 08, 2022",ICIC Launches Free Executive Education Program to Help Accelerate Profitable Growth for BIPOC- and Woman-Owned Construction Businesses,bbresnahan@icic.org,https://www.constructiondive.com/press-release/20220207-icic-launches-free-program-to-help-accelerate-profitable-growth-for-bipoc-/
SONSRAY MACHINERY,"February 07, 2022",Sonsray Machinery Launches Online Renting and Mobile App,info@sonsray.com,https://www.constructiondive.com/press-release/20220207-sonsray-machinery-launches-online-renting-and-mobile-app/
KADEAN CONSTRUCTION,"February 04, 2022",Kadean Grows With 15 Logistics Facilities Worth $327 Million Under Construction Nationally,craig@workman-company.com,https://www.constructiondive.com/press-release/20220204-kadean-grows-with-15-logistics-facilities-worth-327-million-under-construc/
INTECH CONSTRUCTION,"February 03, 2022",INTECH Announces Brad Ryals as Director of Pre-Construction Services and Tom Hajek as Director of Healthcare Services,PDoniewski@intechconstruction.com,https://www.constructiondive.com/press-release/20220203-intech-announces-brad-ryals-as-director-of-pre-construction-services-and-to/
ECOSYSTEMS,"February 02, 2022","Ecosystems Announces Innovations for 2022, Grows Customer Value Management Community Following Record Breaking Financial Year",tori@precisionmarketinggroup.com,https://www.constructiondive.com/press-release/20220202-ecosystems-announces-innovations-for-2022-grows-customer-value-management/
NEWFORMA,"February 02, 2022",Newforma Centralized Project Information Further Enhances Data Sharing and Collaboration with New Connector to Autodesk Construction Management Software,hripley@ripleypr.com,https://www.constructiondive.com/press-release/20220201-newforma-centralizes-project-information-further-enhances-data-sharing-and/
TOUCHPLAN,"February 01, 2022",Touchplan and The Boldt Company Complete Enterprise Agreement,dfinnegan@touchplan.io,https://www.constructiondive.com/press-release/20220201-touchplan-and-the-boldt-company-complete-enterprise-agreement/
TRIMBLE,"January 31, 2022",Trimble Introduces Mixed Reality for Construction Layout with FieldLink MR,Not Provided,https://www.constructiondive.com/press-release/20220131-trimble-introduces-mixed-reality-for-construction-layout-with-fieldlink-mr/
AMERISURE,"January 27, 2022",Amerisure Selected for National Safety Council Advisory Group to Help Prevent Ergonomic Workplace Injuries,mbanes@amerisure.com,https://www.constructiondive.com/press-release/20220126-amerisure-selected-for-national-safety-council-advisory-group-to-help-preve/
ANGULERIS,"January 25, 2022",Anguleris Acquires Modlar in Expansion of Global Construction Marketing Network,eadams@anguleris.com,https://www.constructiondive.com/press-release/20220121-anguleris-acquires-modlar-in-expansion-of-global-construction-marketing-net/
PARSONS CORPORATION,"January 24, 2022",Peter Torrellas to Lead Parsons’ Connected Communities Business Unit,Not Provided,https://www.constructiondive.com/press-release/20220124-peter-torrellas-to-lead-parsons-connected-communities-business-unit/
GREYHAWK,"January 24, 2022","GREYHAWK Restructures, Forms ESOP, and Names Ronald C. Kerins, Jr., President",kkostiuk@greyhawk.com,https://www.constructiondive.com/press-release/20220124-greyhawk-restructures-forms-esop-and-names-ronald-c-kerins-jr-preside/
ALSTON CONSTRUCTION,"January 24, 2022",Alston Construction makes two promotions in food and beverage unit,Not Provided,https://www.constructiondive.com/press-release/20220121-alston-construction-makes-two-promotions-in-food-and-beverage-unit/
CONSTRUCTSECURE,"January 24, 2022",ConstructSecure Announces $96M Growth Equity Investment to Bring Partner Elevation to Capital Projects,megg_dunlap@constructsecure.com,https://www.constructiondive.com/press-release/20220122-constructsecure-announces-96m-growth-equity-investment-to-bring-partner-el/
MONTEITH CONSTRUCTION CORP.,"January 20, 2022","Monteith Construction Corp. Appoints President Bryan Thomas as CEO,  Positions Company for Long-Term Growth, Innovation",ccoons@monteithco.com,https://www.constructiondive.com/press-release/20220120-monteith-construction-corp-appoints-president-bryan-thomas-as-ceo-positi/
FORGEN,"January 20, 2022","Sam Myers Joins Forgen as Director of Business Development, Gulf Coast",Not Provided,https://www.constructiondive.com/press-release/20220120-sam-myers-joins-forgen-as-director-of-business-development-gulf-coast/
GUARDHAT,"January 19, 2022",Guardhat Adds Gas Monitoring from RKI Instruments to their Connected Worker Platform,sarah.kalhorn@guardhat.com,https://www.constructiondive.com/press-release/20220119-guardhat-adds-gas-monitoring-from-rki-instruments-to-their-connected-worker/
DOXEL,"January 19, 2022",Doxel Completes Its Executive Team With the Hire of its New Head of Global Marketing,rickl@vsc.co,https://www.constructiondive.com/press-release/20220119-doxel-completes-its-executive-team-with-the-hire-of-its-new-head-of-global/
SENSERA SYSTEMS,"January 19, 2022",Sensera Systems Launches PTZ600 Solar Powered Smart Panoramic Jobsite Camera,wendib@senserasystems.com,https://www.constructiondive.com/press-release/20220119-sensera-systems-launches-ptz600-solar-powered-smart-panoramic-jobsite-camer/
INTERNATIONAL UNION OF ELEVATOR CONSTRUCTORS,"January 19, 2022",Elevator Constructors Union Commends Federal Regulators & Others for Efforts to Protect Children from the Dangers of Home Elevators,Not Provided,https://www.constructiondive.com/press-release/20220118-elevator-constructors-union-commends-federal-regulators-others-for-effort/
CORECON TECHNOLOGIES,"January 18, 2022",Corecon Technologies Announces DocuSign eSignature Integration with its  Cloud-Based Construction Software Suite,lauramickelson@cox.net,https://www.constructiondive.com/press-release/20220114-corecon-technologies-announces-docusign-esignature-integration-with-its-cl-1/
TOUCHPLAN,"January 18, 2022",Touchplan Announces new Integration with Autodesk Construction Cloud,dfinnegan@touchplan.io,https://www.constructiondive.com/press-release/20220118-touchplan-announces-new-integration-with-autodesk-construction-cloud/
ALICE TECHNOLOGIES,"January 13, 2022",ALICE Technologies and Align JV Extend Partnership on Major U.K. HS2 Infrastructure Project,melinda@studiopr.com,https://www.constructiondive.com/press-release/20220112-alice-technologies-and-align-jv-extend-partnership-on-major-uk-hs2-infras/
INTELLIWAVE TECHNOLOGIES,"January 12, 2022","Intelliwave Releases SiteSense Integration for Oracle’s Primavera Unifier, Now Available on Oracle Cloud Marketplace, Joins Oracle Industries Innovation Lab",socialmedia@intelliwavetechnologies.com,https://www.constructiondive.com/press-release/20220112-intelliwave-releases-sitesense-integration-for-oracles-primavera-unifier/
TSI CORPORATIONS,"January 12, 2022",TSI Corporations Appoints Thomas Cornellier as CEO,lfeyduncan@gmail.com,https://www.constructiondive.com/press-release/20220112-tsi-corporations-appoints-thomas-cornellier-as-ceo/
TOUCHPLAN,"January 11, 2022",Touchplan and Alberici-Flintco Complete Enterprise Agreement,"['dfinnegan@touchplan.io', 'lindsey.conner@alberici.com']",https://www.constructiondive.com/press-release/20220111-touchplan-and-alberici-flintco-complete-enterprise-agreement/
BUILDERS CAPITAL,"January 11, 2022",Fintech leader Builders Capital brings innovative software platform to borrowers through BIMQuote and Customhome.ai acquisition,jason.troupin@builders-capital.com,https://www.constructiondive.com/press-release/20220110-fintech-leader-builders-capital-brings-innovative-software-platform-to-borr/
SPARK BUSINESS WORKS,"January 10, 2022",SPARK Business Works acquires digital marketing firm Convergent1,brad.wilson@sparkbusinessworks.com,https://www.constructiondive.com/press-release/20220107-spark-business-works-acquires-digital-marketing-firm-convergent1/
AZCO,"January 05, 2022",Construction Industry Veteran Earle Cianchette Named New AZCO CEO,jbathke@burnsmcd.com,https://www.constructiondive.com/press-release/20220104-construction-industry-veteran-earle-cianchette-named-new-azco-ceo/
BRIDGIT,"December 22, 2021",Bridgit’s Explosive Growth Rate in 2021 Will Accelerate During 2022,jesse@derringdo.com,https://www.constructiondive.com/press-release/20211221-bridgits-explosive-growth-rate-in-2021-will-accelerate-during-2022/
EQUIPMENTSHARE,"December 22, 2021",EquipmentShare Completes Acquisition of Assets from Six  Trekker Tractor Locations in Florida,amy.susan@equipmentshare.com,https://www.constructiondive.com/press-release/20211221-equipmentshare-completes-acquisition-of-assets-from-six-trekker-tractor-lo/
BRIDGIT,"December 21, 2021",Alberici-Flintco takes Bridgit Bench company-wide for workforce intelligence,jesse@derringdo.com,https://www.constructiondive.com/press-release/20211214-alberici-flintco-takes-bridgit-bench-company-wide-for-workforce-intelligenc-1/
"TESTING, ADJUSTING AND BALANCING BUREAU (TABB)","December 16, 2021",Veterans Affairs adds TABB as an accepted certification body,"['tbond@weareimagine.com', 'brouff@weareimagine.com']",https://www.constructiondive.com/press-release/20211215-veterans-affairs-adds-tabb-as-an-accepted-certification-body/
BURNS & MCDONNELL,"December 16, 2021","Burns & McDonnell Hires Aerospace and Water Industry Leaders, Bolstering Florida Operations Share     Burns & McDonnell Hires Aerospace and Water Industry Leaders, Bolstering Florida Operations",jajirovec@burnsmcd.com,https://www.constructiondive.com/press-release/20211214-burns-mcdonnell-hires-aerospace-and-water-industry-leaders-bolstering-fl/
DOXEL,"December 15, 2021",Doxel Hires New Chief Revenue Officer to Lead Construction Technology Startups’ Continued Growth,rickl@vsc.co,https://www.constructiondive.com/press-release/20211215-doxel-hires-new-chief-revenue-officer-to-lead-construction-technology-start/
BURNS & MCDONNELL,"December 15, 2021",Burns & McDonnell and 1898 & Co. Adds Two Employee-Owners to Leadership Team in the Southeast,jajirovec@burnsmcd.com,https://www.constructiondive.com/press-release/20211214-burns-mcdonnell-and-1898-co-adds-two-employee-owners-to-leadership-tea-2/
CANVAS,"December 13, 2021","Construction Robotics Startup Canvas Announces Innovation Program with Select Partners: Webcor, Swinerton, DPR Construction, Nevell Group Inc., KHS&S and Daley’s Drywall",Not Provided,https://www.constructiondive.com/press-release/20211213-construction-robotics-startup-canvas-announces-innovation-program-with-sele/
"SENSERA SYSTEMS, INC.","December 13, 2021",Sensera Systems Signs Enterprise Agreement with PCL Construction for Intelligent Site Monitoring,wendib@senserasystems.com,https://www.constructiondive.com/press-release/20211213-sensera-systems-signs-enterprise-agreement-with-pcl-construction-for-intell/
AMERISURE,"December 13, 2021",Robin Miller Named Amerisure Regional Vice President  of Field Claims for North and West Regions,mbanes@amerisure.com,https://www.constructiondive.com/press-release/20211124-robin-miller-named-amerisure-regional-vice-president-of-field-claims-for-n/
EARTHCAM,"December 09, 2021",InEight Selects EarthCam to Deliver Live Visual Data from Jobsites,Not Provided,https://www.constructiondive.com/press-release/20211209-ineight-selects-earthcam-to-deliver-live-visual-data-from-jobsites/
AMERISURE,"December 09, 2021","Amerisure Expands into Three New States, Offering P&C Insurance through Exclusive Partners For Success® Program",mbanes@amerisure.com,https://www.constructiondive.com/press-release/20211124-amerisure-expands-into-three-new-states-offering-pc-insurance-through-exc/
BRIDGIT,"December 07, 2021",Pioneering ConTech Company Bridgit Is Recognized as One of 2021’s Best Workplaces™ Managed by Women,jesse@derringdo.com,https://www.constructiondive.com/press-release/20211206-pioneering-contech-company-bridgit-is-recognized-as-one-of-2021s-best-work/
ALICE TECHNOLOGIES,"December 06, 2021",ALICE Technologies Hires Jan Surovec as VP of Engineering,melinda@studiopr.com,https://www.constructiondive.com/press-release/20211129-alice-technologies-hires-jan-surovec-as-vp-of-engineering-for-contech-innov/
"SAFEWORKCM, INC.","December 06, 2021","SafeworkCM, Inc. Founder Rebecca Jones Names  Domingo Camarano President and CEO",taunya.moen@safeworkcm.com,https://www.constructiondive.com/press-release/20211201-safeworkcm-inc-founder-rebecca-jones-names-domingo-camarano-president-an/
AMERISURE,"December 02, 2021",Ten Years Running:  Amerisure Named Among Best Places to Work in Insurance,mbanes@amerisure.com,https://www.constructiondive.com/press-release/20211124-ten-years-running-amerisure-named-among-best-places-to-work-in-insurance/
BURNS & MCDONNELL,"December 01, 2021","Burns & McDonnell Expands New York City Office, Strengthening its Design-Build Capabilities in the Northeast",etsimone@burnsmcd.com,https://www.constructiondive.com/press-release/20211201-burns-mcdonnell-expands-new-york-city-office-strengthening-its-design-bu/
BRIDGIT,"November 30, 2021",Bridgit Introduces Certification Tracking,jesse@derringdo.com,https://www.constructiondive.com/press-release/20211129-bridgit-introduces-certification-tracking/
AMERISURE,"November 30, 2021",Amerisure Named Among the Best and Brightest Companies  to Work For ® in the Nation,mbanes@amerisure.com,https://www.constructiondive.com/press-release/20211124-amerisure-named-among-the-best-and-brightest-companies-to-work-for-in-th/
INTECH CONSTRUCTION,"November 29, 2021","INTECH Construction Announces Management Milestone, Names Phil Moses President and Blaise Lutz CFO",PDoniewski@intechconstruction.com,https://www.constructiondive.com/press-release/20211129-intech-construction-announces-management-milestone-names-phil-moses-presid/
AMERISURE,"November 29, 2021",Amerisure Earns Metropolitan Detroit's Best & Brightest Companies to Work For® Recognition,mbanes@amerisure.com,https://www.constructiondive.com/press-release/20211124-amerisure-earns-metropolitan-detroits-best-brightest-companies-to-work-f/
DISCOVERY EDUCATION,"November 22, 2021","Delaware Department of Education, DuPont and Discovery Education Launch First-of-Its-Kind Partnership Supporting STEM, Career, and Technical Education Statewide",swakefield@discoveryed.com,https://www.constructiondive.com/press-release/20211122-delaware-department-of-education-dupont-and-discovery-education-launch-fir/
EQUIPMENTSHARE,"November 18, 2021",EquipmentShare Announces Workforce Development Program in Honor of National Apprenticeship Week,amy.susan@equipmentshare.com,https://www.constructiondive.com/press-release/20211118-equipmentshare-announces-workforce-development-program-in-honor-of-national/
LANAI OUTDOORS,"November 18, 2021",LANAI Outdoors Calls for New Distributors After Launching Revolutionary Premium Decking Product in the US,dustin@instoneproducts.ca,https://www.constructiondive.com/press-release/20211117-lanai-outdoors-calls-for-new-distributors-after-launching-revolutionary-pre/
PRONOVOS,"November 17, 2021",ProNovos Rolls Out Subcontractor-Focused Updates to Its Construction Intelligence Cloud,bruce@pronovos.com,https://www.constructiondive.com/press-release/20211117-pronovos-rolls-out-subcontractor-focused-updates-to-its-construction-intell/
EQUIPMENTSHARE,"November 16, 2021",EquipmentShare Locations in Las Vegas and San Diego Areas Named New Takeuchi Dealerships,amy.susan@equipmentshare.com,https://www.constructiondive.com/press-release/20211116-equipmentshare-locations-in-las-vegas-and-san-diego-areas-named-new-takeuch/
INTERNATIONAL UNION OF ELEVATOR CONSTRUCTORS LOCAL ONE,"November 12, 2021",TEI Group and International Union of Elevator Constructors Local One Donate to Helmets to Hardhats at TEI's Annual Veterans Day Breakfast,info@breakthrough22.com,https://www.constructiondive.com/press-release/20211112-tei-group-and-international-union-of-elevator-constructors-local-one-donate/
SONSRAY MACHINERY,"November 11, 2021",Sonsray Machinery Acquires Booth Machinery,info@sonsray.com,https://www.constructiondive.com/press-release/20211111-sonsray-machinery-acquires-booth-machinery/
INTERNATIONAL UNION OF ELEVATOR CONSTRUCTORS,"November 11, 2021",International Union Of Elevator Constructors Recognizes Veterans For Their Service And Sacrifice,IUECmedia1901@gmail.com,https://www.constructiondive.com/press-release/20211111-international-union-of-elevator-constructors-recognizes-veterans-for-their/
